Lands,Land_location,Land_area,Special_location,Soil_type,Utilities_Availability,Pollution,Land_price
Land_183,New Capital City,244.0,No,Clay,Yes,Low,6000014
Land_184,New Capital City,245.0,No,Clay,Yes,Low,6000015
Land_185,New Capital City,246.0,No,Clay,Yes,Low,6000016
Land_186,New Capital City,247.0,No,Clay,Yes,Low,6000017
Land_187,New Capital City,248.0,No,Clay,Yes,Low,6000018
Land_188,New Capital City,249.0,No,Clay,Yes,Low,6000019
Land_189,New Capital City,250.0,No,Clay,Yes,Low,6000020
Land_190,New Capital City,280.0,No,Clay,No,Medium,6000000
Land_191,New Capital City,281.0,No,Clay,No,Medium,6000001
Land_192,New Capital City,282.0,No,Clay,No,Medium,6000002
Land_193,New Capital City,283.0,No,Clay,No,Medium,6000003
Land_194,New Capital City,284.0,No,Clay,No,Medium,6000004
Land_195,New Capital City,285.0,No,Clay,No,Medium,6000005
Land_196,New Capital City,286.0,No,Clay,No,Medium,6000006
Land_197,New Capital City,287.0,No,Clay,No,Medium,6000007
Land_198,New Capital City,288.0,No,Clay,No,Medium,6000008
Land_199,New Capital City,289.0,No,Clay,No,Medium,6000009
Land_200,New Capital City,290.0,No,Clay,No,Medium,6000010
Land_201,New Capital City,291.0,No,Clay,No,Medium,6000011
Land_202,New Capital City,292.0,No,Clay,No,Medium,6000012
Land_203,New Capital City,293.0,No,Clay,No,Medium,6000013
Land_204,New Capital City,294.0,No,Clay,No,Medium,6000014
Land_205,New Capital City,295.0,No,Clay,No,Medium,6000015
Land_206,New Capital City,296.0,No,Clay,No,Medium,6000016
Land_207,New Capital City,297.0,No,Clay,No,Medium,6000017
Land_208,New Capital City,298.0,No,Clay,No,Medium,6000018
Land_209,New Capital City,299.0,No,Clay,No,Medium,6000019
Land_210,New Capital City,300.0,No,Clay,No,Medium,6000020
Land_211,New Capital City,230.0,No,Clay,No,Medium,7000000
Land_212,New Capital City,231.0,No,Clay,No,Medium,7000001
Land_213,New Capital City,232.0,No,Clay,No,Medium,7000002
Land_214,New Capital City,233.0,No,Clay,No,Medium,7000003
Land_215,New Capital City,234.0,No,Clay,No,Medium,7000004
Land_216,New Capital City,235.0,No,Clay,No,Medium,7000005
Land_217,New Capital City,236.0,No,Clay,No,Medium,7000006
Land_218,New Capital City,237.0,No,Clay,No,Medium,7000007
Land_219,New Capital City,238.0,No,Clay,No,Medium,7000008
Land_220,New Capital City,239.0,No,Clay,No,Medium,7000009
Land_221,New Capital City,240.0,No,Clay,No,Medium,7000010
Land_222,New Capital City,241.0,No,Clay,No,Medium,7000011
Land_223,New Capital City,242.0,No,Clay,No,Medium,7000012
Land_224,New Capital City,243.0,No,Clay,No,Medium,7000013
Land_225,New Capital City,244.0,No,Clay,No,Medium,7000014
Land_226,New Capital City,245.0,No,Clay,No,Medium,7000015
Land_227,New Capital City,246.0,No,Clay,No,Medium,7000016
Land_228,New Capital City,247.0,No,Clay,No,Medium,7000017
Land_229,New Capital City,248.0,No,Clay,No,Medium,7000018
Land_230,New Capital City,249.0,No,Clay,No,Medium,7000019
Land_231,New Capital City,250.0,No,Clay,No,Medium,7000020
Land_232,New Capital City,340.0,Yes,Loam,No,Medium,37480000
Land_233,New Capital City,341.0,Yes,Loam,No,Medium,37480001
Land_234,New Capital City,342.0,Yes,Loam,No,Medium,37480002
Land_235,New Capital City,343.0,Yes,Loam,No,Medium,37480003
Land_236,New Capital City,344.0,Yes,Loam,No,Medium,37480004
Land_237,New Capital City,345.0,Yes,Loam,No,Medium,37480005
Land_238,New Capital City,346.0,Yes,Loam,No,Medium,37480006
Land_239,New Capital City,347.0,Yes,Loam,No,Medium,37480007
Land_240,New Capital City,348.0,Yes,Loam,No,Medium,37480008
Land_241,New Capital City,349.0,Yes,Loam,No,Medium,37480009
Land_242,New Capital City,350.0,Yes,Loam,No,Medium,37480010
Land_243,New Capital City,351.0,Yes,Loam,No,Medium,37480011
Land_244,New Capital City,352.0,Yes,Loam,No,Medium,37480012
Land_245,New Capital City,353.0,Yes,Loam,No,Medium,37480013
Land_246,New Capital City,354.0,Yes,Loam,No,Medium,37480014
Land_247,New Capital City,355.0,Yes,Loam,No,Medium,37480015
Land_248,New Capital City,356.0,Yes,Loam,No,Medium,37480016
Land_249,New Capital City,357.0,Yes,Loam,No,Medium,37480017
Land_250,New Capital City,358.0,Yes,Loam,No,Medium,37480018
Land_251,New Capital City,359.0,Yes,Loam,No,Medium,37480019
Land_252,New Capital City,360.0,Yes,Loam,No,Medium,37480020
Land_253,New Capital City,212.0,Yes,Loam,Yes,Low,11000000
Land_254,New Capital City,213.0,Yes,Loam,Yes,Low,11000001
Land_255,New Capital City,214.0,Yes,Loam,Yes,Low,11000002
Land_256,New Capital City,215.0,Yes,Loam,Yes,Low,11000003
Land_257,New Capital City,216.0,Yes,Loam,Yes,Low,11000004
Land_258,New Capital City,217.0,Yes,Loam,Yes,Low,11000005
Land_259,New Capital City,218.0,Yes,Loam,Yes,Low,11000006
Land_260,New Capital City,219.0,Yes,Loam,Yes,Low,11000007
Land_261,New Capital City,220.0,Yes,Loam,Yes,Low,11000008
Land_262,New Capital City,221.0,Yes,Loam,Yes,Low,11000009
Land_263,New Capital City,222.0,Yes,Loam,Yes,Low,11000010
Land_264,New Capital City,223.0,Yes,Loam,Yes,Low,11000011
Land_265,New Capital City,224.0,Yes,Loam,Yes,Low,11000012
Land_266,New Capital City,225.0,Yes,Loam,Yes,Low,11000013
Land_267,New Capital City,226.0,Yes,Loam,Yes,Low,11000014
Land_268,New Capital City,227.0,Yes,Loam,Yes,Low,11000015
Land_269,New Capital City,228.0,Yes,Loam,Yes,Low,11000016
Land_270,New Capital City,229.0,Yes,Loam,Yes,Low,11000017
Land_271,New Capital City,230.0,Yes,Loam,Yes,Low,11000018
Land_272,New Capital City,231.0,Yes,Loam,Yes,Low,11000019
Land_273,New Capital City,232.0,Yes,Loam,Yes,Low,11000020
Land_274,New Capital City,212.0,No,Clay,Yes,Low,8500000
Land_275,New Capital City,213.0,No,Clay,Yes,Low,8500001
Land_276,New Capital City,214.0,No,Clay,Yes,Low,8500002
Land_277,New Capital City,215.0,No,Clay,Yes,Low,8500003
Land_278,New Capital City,216.0,No,Clay,Yes,Low,8500004
Land_279,New Capital City,217.0,No,Clay,Yes,Low,8500005
Land_280,New Capital City,218.0,No,Clay,Yes,Low,8500006
Land_281,New Capital City,219.0,No,Clay,Yes,Low,8500007
Land_282,New Capital City,220.0,No,Clay,Yes,Low,8500008
Land_283,New Capital City,221.0,No,Clay,Yes,Low,8500009
Land_284,New Capital City,222.0,No,Clay,Yes,Low,8500010
Land_285,New Capital City,223.0,No,Clay,Yes,Low,8500011
Land_286,New Capital City,224.0,No,Clay,Yes,Low,8500012
Land_287,New Capital City,225.0,No,Clay,Yes,Low,8500013
Land_288,New Capital City,226.0,No,Clay,Yes,Low,8500014
Land_289,New Capital City,227.0,No,Clay,Yes,Low,8500015
Land_290,New Capital City,228.0,No,Clay,Yes,Low,8500016
Land_291,New Capital City,229.0,No,Clay,Yes,Low,8500017
Land_292,New Capital City,230.0,No,Clay,Yes,Low,8500018
Land_293,New Capital City,231.0,No,Clay,Yes,Low,8500019
Land_294,New Capital City,232.0,No,Clay,Yes,Low,8500020
Land_295,New Capital City,206.0,No,Clay,Yes,High,3000000
Land_296,New Capital City,207.0,No,Clay,Yes,High,3000001
Land_297,New Capital City,208.0,No,Clay,Yes,High,3000002
Land_298,New Capital City,209.0,No,Clay,Yes,High,3000003
Land_299,New Capital City,210.0,No,Clay,Yes,High,3000004
Land_300,New Capital City,211.0,No,Clay,Yes,High,3000005
Land_301,New Capital City,212.0,No,Clay,Yes,High,3000006
Land_302,New Capital City,213.0,No,Clay,Yes,High,3000007
Land_303,New Capital City,214.0,No,Clay,Yes,High,3000008
Land_304,New Capital City,215.0,No,Clay,Yes,High,3000009
Land_305,New Capital City,216.0,No,Clay,Yes,High,3000010
Land_306,New Capital City,217.0,No,Clay,Yes,High,3000011
Land_307,New Capital City,218.0,No,Clay,Yes,High,3000012
Land_308,New Capital City,219.0,No,Clay,Yes,High,3000013
Land_309,New Capital City,220.0,No,Clay,Yes,High,3000014
Land_310,New Capital City,221.0,No,Clay,Yes,High,3000015
Land_311,New Capital City,222.0,No,Clay,Yes,High,3000016
Land_312,New Capital City,223.0,No,Clay,Yes,High,3000017
Land_313,New Capital City,224.0,No,Clay,Yes,High,3000018
Land_314,New Capital City,225.0,No,Clay,Yes,High,3000019
Land_315,New Capital City,226.0,No,Clay,Yes,High,3000020
Land_316,New Capital City,239.0,Yes,Gravel,No,High,15000000
Land_317,New Capital City,240.0,Yes,Gravel,No,High,15000001
Land_318,New Capital City,241.0,Yes,Gravel,No,High,15000002
Land_319,New Capital City,242.0,Yes,Gravel,No,High,15000003
Land_320,New Capital City,243.0,Yes,Gravel,No,High,15000004
Land_321,New Capital City,244.0,Yes,Gravel,No,High,15000005
Land_322,New Capital City,245.0,Yes,Gravel,No,High,15000006
Land_323,New Capital City,246.0,Yes,Gravel,No,High,15000007
Land_324,New Capital City,247.0,Yes,Gravel,No,High,15000008
Land_325,New Capital City,248.0,Yes,Gravel,No,High,15000009
Land_326,New Capital City,249.0,Yes,Gravel,No,High,15000010
Land_327,New Capital City,250.0,Yes,Gravel,No,High,15000011
Land_328,New Capital City,251.0,Yes,Gravel,No,High,15000012
Land_329,New Capital City,252.0,Yes,Gravel,No,High,15000013
Land_330,New Capital City,253.0,Yes,Gravel,No,High,15000014
Land_331,New Capital City,254.0,Yes,Gravel,No,High,15000015
Land_332,New Capital City,255.0,Yes,Gravel,No,High,15000016
Land_333,New Capital City,256.0,Yes,Gravel,No,High,15000017
Land_334,New Capital City,257.0,Yes,Gravel,No,High,15000018
Land_335,New Capital City,258.0,Yes,Gravel,No,High,15000019
Land_336,New Capital City,259.0,Yes,Gravel,No,High,15000020
Land_337,New Capital City,212.0,No,Clay,No,High,8700000
Land_338,New Capital City,213.0,No,Clay,No,High,8700001
Land_339,New Capital City,214.0,No,Clay,No,High,8700002
Land_340,New Capital City,215.0,No,Clay,No,High,8700003
Land_341,New Capital City,216.0,No,Clay,No,High,8700004
Land_342,New Capital City,217.0,No,Clay,No,High,8700005
Land_343,New Capital City,218.0,No,Clay,No,High,8700006
Land_344,New Capital City,219.0,No,Clay,No,High,8700007
Land_345,New Capital City,220.0,No,Clay,No,High,8700008
Land_346,New Capital City,221.0,No,Clay,No,High,8700009
Land_347,New Capital City,222.0,No,Clay,No,High,8700010
Land_348,New Capital City,223.0,No,Clay,No,High,8700011
Land_349,New Capital City,224.0,No,Clay,No,High,8700012
Land_350,New Capital City,225.0,No,Clay,No,High,8700013
Land_351,New Capital City,226.0,No,Clay,No,High,8700014
Land_352,New Capital City,227.0,No,Clay,No,High,8700015
Land_353,New Capital City,228.0,No,Clay,No,High,8700016
Land_354,New Capital City,229.0,No,Clay,No,High,8700017
Land_355,New Capital City,230.0,No,Clay,No,High,8700018
Land_356,New Capital City,231.0,No,Clay,No,High,8700019
Land_357,New Capital City,232.0,No,Clay,No,High,8700020
Land_358,New Capital City,370.0,Yes,Gravel,No,Low,15000000
Land_359,New Capital City,371.0,Yes,Gravel,No,Low,15000001
Land_360,New Capital City,372.0,Yes,Gravel,No,Low,15000002
Land_361,New Capital City,373.0,Yes,Gravel,No,Low,15000003
Land_362,New Capital City,374.0,Yes,Gravel,No,Low,15000004
Land_363,New Capital City,375.0,Yes,Gravel,No,Low,15000005
Land_364,New Capital City,376.0,Yes,Gravel,No,Low,15000006
Land_365,New Capital City,377.0,Yes,Gravel,No,Low,15000007
Land_366,New Capital City,378.0,Yes,Gravel,No,Low,15000008
Land_367,New Capital City,379.0,Yes,Gravel,No,Low,15000009
Land_368,New Capital City,380.0,Yes,Gravel,No,Low,15000010
Land_369,New Capital City,381.0,Yes,Gravel,No,Low,15000011
Land_370,New Capital City,382.0,Yes,Gravel,No,Low,15000012
Land_371,New Capital City,383.0,Yes,Gravel,No,Low,15000013
Land_372,New Capital City,384.0,Yes,Gravel,No,Low,15000014
Land_373,New Capital City,385.0,Yes,Gravel,No,Low,15000015
Land_374,New Capital City,386.0,Yes,Gravel,No,Low,15000016
Land_375,New Capital City,387.0,Yes,Gravel,No,Low,15000017
Land_376,New Capital City,388.0,Yes,Gravel,No,Low,15000018
Land_377,New Capital City,389.0,Yes,Gravel,No,Low,15000019
Land_378,New Capital City,390.0,Yes,Gravel,No,Low,15000020
Land_379,New Capital City,211.0,Yes,Loam,No,Low,17600000
Land_380,New Capital City,212.0,Yes,Loam,No,Low,17600001
Land_381,New Capital City,213.0,Yes,Loam,No,Low,17600002
Land_382,New Capital City,214.0,Yes,Loam,No,Low,17600003
Land_383,New Capital City,215.0,Yes,Loam,No,Low,17600004
Land_384,New Capital City,216.0,Yes,Loam,No,Low,17600005
Land_385,New Capital City,217.0,Yes,Loam,No,Low,17600006
Land_386,New Capital City,218.0,Yes,Loam,No,Low,17600007
Land_387,New Capital City,219.0,Yes,Loam,No,Low,17600008
Land_388,New Capital City,220.0,Yes,Loam,No,Low,17600009
Land_389,New Capital City,221.0,Yes,Loam,No,Low,17600010
Land_390,New Capital City,222.0,Yes,Loam,No,Low,17600011
Land_391,New Capital City,223.0,Yes,Loam,No,Low,17600012
Land_392,New Capital City,224.0,Yes,Loam,No,Low,17600013
Land_393,New Capital City,225.0,Yes,Loam,No,Low,17600014
Land_394,New Capital City,226.0,Yes,Loam,No,Low,17600015
Land_395,New Capital City,227.0,Yes,Loam,No,Low,17600016
Land_396,New Capital City,228.0,Yes,Loam,No,Low,17600017
Land_397,New Capital City,229.0,Yes,Loam,No,Low,17600018
Land_398,New Capital City,230.0,Yes,Loam,No,Low,17600019
Land_399,New Capital City,231.0,Yes,Loam,No,Low,17600020
Land_400,New Capital City,926.0,Yes,Loam,No,Low,99000000
Land_401,New Capital City,927.0,Yes,Loam,No,Low,99000001
Land_402,New Capital City,928.0,Yes,Loam,No,Low,99000002
Land_403,New Capital City,929.0,Yes,Loam,No,Low,99000003
Land_404,New Capital City,930.0,Yes,Loam,No,Low,99000004
Land_405,New Capital City,931.0,Yes,Loam,No,Low,99000005
Land_406,New Capital City,932.0,Yes,Loam,No,Low,99000006
Land_407,New Capital City,933.0,Yes,Loam,No,Low,99000007
Land_408,New Capital City,934.0,Yes,Loam,No,Low,99000008
Land_409,New Capital City,935.0,Yes,Loam,No,Low,99000009
Land_410,New Capital City,936.0,Yes,Loam,No,Low,99000010
Land_411,New Capital City,937.0,Yes,Loam,No,Low,99000011
Land_412,New Capital City,938.0,Yes,Loam,No,Low,99000012
Land_413,New Capital City,939.0,Yes,Loam,No,Low,99000013
Land_414,New Capital City,940.0,Yes,Loam,No,Low,99000014
Land_415,New Capital City,941.0,Yes,Loam,No,Low,99000015
Land_416,New Capital City,942.0,Yes,Loam,No,Low,99000016
Land_417,New Capital City,943.0,Yes,Loam,No,Low,99000017
Land_418,New Capital City,944.0,Yes,Loam,No,Low,99000018
Land_419,New Capital City,945.0,Yes,Loam,No,Low,99000019
Land_420,New Capital City,946.0,Yes,Loam,No,Low,99000020
Land_421,Sheikh Zayed,1800.0,No,Clay,No,Low,12500000
Land_422,Sheikh Zayed,1801.0,No,Clay,No,Low,12500001
Land_423,Sheikh Zayed,1802.0,No,Clay,No,Low,12500002
Land_424,Sheikh Zayed,1803.0,No,Clay,No,Low,12500003
Land_425,Sheikh Zayed,1804.0,No,Clay,No,Low,12500004
Land_426,Sheikh Zayed,1805.0,No,Clay,No,Low,12500005
Land_427,Sheikh Zayed,1806.0,No,Clay,No,Low,12500006
Land_428,Sheikh Zayed,1807.0,No,Clay,No,Low,12500007
Land_429,Sheikh Zayed,1808.0,No,Clay,No,Low,12500008
